Freudian    adj.佛洛伊德的；佛洛伊德学说的 n.相信佛洛伊学说的人
edge    n.边缘，边；刀口
effigy    n.肖像；雕像；模拟像
effluent    n.废水；污物；水流 adj.流出的
egalitarianism    n.平均主义
eggnog    n.蛋奶酒
egregious    adj.恶名昭彰的；过份的；非常的
elaborate    a.复杂的；精心制作的
elective    adj.选举的；随意选择的 n.[美]选修科目
electorate    n.(全体)选民
electron    n.电子
elevate    vt.提高(思想)；抬高
elicit    vt.引出；诱出；探出
eligible    adj.有资格的；合适的
eliminate    vt.消灭，消除，排除
elite    n.精英 adj.精英的；优秀的
elliptical    a.椭圆的；省略的
elongate    v.延长；伸长 adj.延长了的；细长的
elongation    n.延伸
eloquent    adj.雄辩的；有口才的；动人的
elude    vt.逃避；躲避；理解不了；记不起来
elusive    adj.难懂的；难捉摸的；难找的；逃避的
emanate    v.散发；发出
emancipation    n.释放；解放
embalm    v.铭记；防腐；使弥香气；使不朽
embark    v.乘船；装载；着手；从事
embellish    v.美化、装饰或修饰；渲染或添枝加叶
embody    vt.体现；包含，收录
embrace    vt.包括，包含；包围
embroider    v.刺绣；镶边；装饰
embryo    n.胚胎；萌芽
emerald    n.翡翠；绿宝石；翡翠绿 adj.翡翠的；翠绿色的
emission    n.散发；传播；发出物
empirical    a.经验主义的
emulate    vt.效法；尽力赶上
encapsulate    v.装入胶囊；封进内部；压缩；概括
encephalitis    n.〈医〉脑炎
encode    vt.编码；译码
encompass    vt.围绕；包围；包括；完成
encounter    vt.遭遇，遇到
encroach    v.侵占；侵犯；侵害
endeavor    vi.&n.努力，尽力
endemic    adj.风土的；地方的 n.地方病；风土病
endorphin    n.内啡肽
endorse    vt.赞同；支持；背书于
endorsement    n.支持；认可；背书
endothermic    adj.[化]吸热的；吸热反应的
endowment    n.【U】捐助(奖金) n.【C】捐助(钱的数量)；天赋
enervation    n.削弱精神；衰弱；虚弱
engender    v.产生；引起
engrave    v.雕刻；刻上；铭记
engulf    vt.吞没；席卷；吞噬
enhance    vt.提高，增加；夸张
enlist    vt.征募；使入伍；获得...支持 vi.入伍；参与
enormous    a.巨大的，庞大的
enrich    vt.使富裕；使丰富
enslave    vt.使做奴隶；使处于奴役的状态
ensue    v.跟着发生；继起；因而产生
entail    vt.使必需；带来；限定继承 n.限定继承权
enterprise    n.艰巨的事业；事业心
entice    v.诱使；引诱
entity    n.实体；存在；本质
entrant    n.(参加比赛的)竞赛者；新就业者；新成员
entree    n.入场许可；主菜
entrepreneur    n.企业家；承包商；主办者
enumeration    n.计算；列举；细目
envelope    n.信封；封套；封皮
envious    adj.嫉妒的 adj.[古]好胜的；羡慕的
envision    vt.想象；设想
enzyme    n.酶
epic    n.史诗；叙事诗 adj.史诗的；叙事诗的；宏大的；壮丽的
epicenter    n.震中；中心
epidemic    n.流行病；传染病 adj.流行的；传染性的
episode    n.一段情节；插曲
epochal    adj.新纪元的；划时代的
era    n.时代，年代；纪元
eradicate    vt.根除；根绝；消灭
erratic    adj.古怪的；飘忽不定的；不稳定的
ersatz    adj.代用的；假的 n.代用品
erudition    n.博学；学识
eschew    vt.避开；回避；戒绝
espionage    n.间谍活动
espouse    vt.支持；赞成；嫁娶
estrange    vt.使疏远
eternal    n.永久的；不朽的
ethnicity    n.种族划分；属于少数民族
ethnocentric    adj.民族中心主义的；种族优越感的
ethnographic    adj.民族志学的；人种志学的
ethnologist    n.民族学者；人种学者
ethnomusicology    n.人种音乐学
ethylene    n.乙烯
etymology    n.语源；词源学
eukaryotic    adj.真核状态的
euphoria    n.幸福愉快感
evacuation    n.撤离；疏散 n.排泄；排泄物
evaporate    vt.使脱水vi.发散蒸气
evict    v.驱逐；依法收回
exacerbate    vt.加重(使 ... 恶化；激怒)
exaggerate    vt.&vi.夸大，夸张
excavate    v.挖掘；挖开；发掘（古物）
excerpt    n.摘录 vt.摘录；引用
excise    n.货物税；消费税 vt.征税 vt.切除；删除
exclusionary    n.排除；除外；逐出
excrete    v.排泄；分泌
excruciate    vt.使苦恼；折磨；拷问
excursion    n.离题
executioner    n.刽子手
exempt    adj.免除的 vt.免除 n.免税者；被免除义务者
exhaustive    adj.彻底的；详尽的；消耗的
exhort    vt.劝诫；忠告；勉励 vi.进行规劝（或告诫）
exigency    n.紧急；迫切需要
exile    vt.流放
exodus    n.大批的离去
exoneration    n.免罪；免除
exotic    adj.外来的；异国的；奇异的；脱衣舞的
expatriate    n.移居外国者
expedient    adj.权宜的；有用的 n.权宜之计；临时手段
expedite    vt.加速；加快；有助于
expedition    n.探险；探险队
expertise    n.专门知识；专门技术；专家的意见
explicit    a.明晰的；直率的
expound    v.详细说明；阐述；解释
expressly    adv.清楚地；特意地；专门地
expulsion    n.驱逐；开除；排气
exquisite    adj.精挑细选的；精致的；细腻的；强烈的 n.过分在意外表着装的人
exterior    a.外部的；对外的
exterminate    vt.消灭；扑灭；根绝
external    a.外部的，外面的
extinguish    vt.熄灭，扑灭；消灭
extradite    v.引渡回国；拿获归案
extraneous    adj.外来的；无关的
extrapolation    n.外推法；归纳；推论
extraterrestrial    adj.地球(或其大气圈)外的；行星际的 n.外星人
extricate    v.使解脱；救出
extrinsic    adj.非固有的；非本质的；外在的
fabrication    n.制作，构成；捏造
facade    n.建筑物的正面；外表(犹指虚伪的)
faction    n.派别，宗派，小集团
factor    n.因素；因子，系数
fad    n.时尚；一时流行的狂热
fade    vi.褪色；逐渐消失
fake    n.假货，膺品
fallacy    n.谬论；谬误的推理
fallout    n.原子尘的降下；辐射尘；余波；附带结果
fallow    adj.休耕的；不活跃的 n.休耕地；休耕 v.使休耕
falter    vi.动摇；迟疑；支吾地说；蹒跚地走 vt.蹒跚地走
famine    n.饥荒；严重的缺乏
fanatic    n.狂热者；极端分子；盲信者 adj.狂热的；盲信的
fanfare    n.仪式上用的短曲（通常用小号吹奏）；〈非正式〉炫耀
far-reaching    adj.深远的；伸至远处的；广大的
farce    n.闹剧；胡闹；滑稽戏 v.添加笑料；填充
fare    n.车费，船费，票价
fatal    a.致命的；命运的
fatality    n.死亡；灾祸；天命；致命性
fault    n.缺点；过失；故障
fauna    n.（某地区或某时期的）所有动物
fava    n.蚕豆(亦作fava bean)
feat    n.技艺；功绩；技艺表演
fecundity    n.多产；富饶；繁殖力
feeble    a.虚弱的；微弱的
feline    n.猫；猫科动物 adj.猫科的
feminist    n.女权主义者 adj.主张男女平等的；女权主义的
ferret    n.白鼬；雪貂 v.用雪貂打猎；搜出
fervent    adj.热情的；强烈的；炎热的；热心的
fetal    adj.胎儿的
feudal    adj.封建的；封地的
fickle    adj.变幻无常的；易变的
fiction    n.小说；虚构，杜撰
fictitious    adj.假想的；虚假的；虚伪的
fid    n.国际文献联合会
fierce    a.凶猛的，狂热的
filibuster    n.妨碍议事；妨碍议事者；掠夺兵；海盗 v.阻挠议案通过；掠夺
finale    n.终曲；结局
fiscal    adj.财政的；国库的
fjord    n.峡湾(峭壁间的狭长的海湾)
flawed    adj.有裂纹的；有瑕疵的；有缺陷的
fleck    n.斑点；微粒 v.使有斑点
fledgling    n.刚会飞的幼鸟；尚缺乏经验的人 adj.刚开始的；无经验的
flippant    adj.轻率的；没礼貌的；[古]能说会道的
flora    n.植物；群落
florid    adj.过分装饰的；华丽的；红润的
fluctuation    n.波动；脉动；踌躇
fluorescent    n.日光灯 adj.萤光的
foe    n.敌人；仇敌
follicle    n.小囊；卵泡；滤泡
folly    n.愚蠢；荒唐事
forage    n.粮草；饲料；搜寻粮草 v.喂；掠夺
forebear    n.祖先；祖宗
forecast    n.预测，预报
foreclose    v.取消抵押品的赎回权；排除
foreign    a.无关的
foresee    vt.预见，预知，看穿
foreshorten    vt.按照透视法画；缩短；省略
forestall    v.领先；占先一步；先发制人，阻止，妨碍
forge    vt.打(铁等)，锻造
formaldehyde    n.甲醛
formidable    a.可怕的；难对付的
forthcoming    a.即将到来的；现有的
forthwith    adv.立刻；立即；马上
fortitude    n.刚毅；坚毅；不屈不挠
fortress    n.堡垒，要塞
foster    vt.养育，抚养；培养
foul    a.肮脏的；丑恶的
fraction    n.分数；分馏的部分
fracture    n.破裂；裂痕
fragile    a.脆的；体质弱的
fragment    n.碎片，破片，碎块
fragrance    n.香味
frame    n.框架，框子；构架
fraternal    adj.兄弟的；兄弟般的；[生]异卵双生的
fraudulent    adj.欺诈的；不正的；不诚实的
freestanding    adj.独立式的
fresco    n.壁画
fretful    adj.烦燥的；焦燥的
frivolous    adj.轻佻的；妄动的；琐碎的；无足轻重的
front    a.前面的
frugal    adj.节俭的；省钱的
frustrate    vt.挫败；使无效
fume    n.烟；汽；愤怒 v.冒烟；愤怒
fungi    n.菌类；蘑菇；霉菌
funnel    n.漏斗；漏斗状物；烟囱 vt.使成漏斗状；使经过漏斗 vi.形成漏斗状；经过漏斗
furnace    n.炉子，熔炉；鼓风炉
fusion    n.融合；结合；熔合；核聚变
futile    adj.无效的；无用的
galaxy    n.银河；星系；一群杰出的人
gauge    vt.量，测量
gear    n.齿轮，传动装置
geese    n.鹅
gel    n.凝胶；发胶；彩色透明滤光板 vi.团结一体；变得清晰；变得浓稠 vt.上发胶
gender    n.性；性别
genetic    adj.遗传的；基因的；起源的
genetical    adj.基因的；遗传学的
genuine    a.真的；真正的
geometrid    n.尺蠖蛾；尺蠖科
gibberellin    n.[生化]赤霉素
gingivitis    n.齿龈炎
girdle    n.腰带；围绕物 vt.以腰带束缚；在 ... 周围绕
glacier    n.冰河；冰川
gland    n.腺
glean    v.拾落穗；收集
glut    n.供过于求；过量 v.使充满；过量供应
glycerol    n.[化]甘油
gorilla    n.大猩猩；暴徒，打手
gourmet    n.美食家
gradient    n.斜坡
gradual    a.逐渐的；渐进的
grandiloquent    adj.辞藻浮华的；浮夸的
grandiosity    n.宏伟；堂皇；铺张
granular    adj.由小粒而成的；粒状的
graveside    n.坟墓边
gravitate    v.受吸引；下沉；重力吸引，受重力作用；移动，移向
graze    vi.喂草；放牧(牲畜)
gregarious    adj.爱社交的；群居的
grievance    n.委屈；冤情；苦况
grim    a.冷酷无情的，严厉的
grip    vt.握紧，抓牢
ground    n.地；场地；根据
gruesome    adj.可怕的；令人毛骨悚然的；阴森的
gullible    adj.易受骗的；轻信的
gymnast    n.体操运动员
gynecologist    n.妇科医生
gyration    n.旋回；旋转；循环周期
haberdashery    n.男子服饰经售店；杂货商店
habitat    n.栖息地；产地
habitation    n.居住；住所
hadron    n.[核]强子(参与强相互作用的基本粒子；包括介子和重子两大类)
hail    vt.向…欢呼
hallmark    n.纯度标记；标志；特征 vt.标纯度
hamper    vt.妨碍，阻碍，牵制
hamster    n.仓鼠
handicap    vt.妨碍，使不利
hard-edge    
hardy    a.强壮的，耐劳的
harness    vt.治理
hatchback    n.有仓门式后背的汽车
haven    n.港口；避难所 v.安置 ... 于港中；庇护
havoc    n.大破坏；混乱 vt.破坏
hazardous    adj.危险的；冒险的；碰运气的
hedgehog    n.刺猬
hedonist    n.快乐主义者；享乐主义者
hefty    adj.重的；肌肉发达的；异常大的；相当多的
hegemony    n.霸权；领导权
height    n.高，高度；高处
helicopter    n.直升机
helium    n.氦
hem    n.褶边 vt.缝边；包围；约束
hemoglobin    n.血红蛋白（hemo前缀解释为血；globin解释为球蛋白）
hepatitis    n.肝炎
herbicide    n.除草剂
hereditary    adj.世袭的；遗传的
heretical    adj.异教的；异端的
heritage    n.遗产；继承物
herring    n.青鱼；鲱
heterogeneity    n.多相性；异质性
hexagon    adj.六角形的 n.六角形；六边形
hierarchy    n.等级制度；统治集团；[生]级系
highlight    vt.强调；照亮；加亮；使 ... 显得重要；使突出 n.加亮区；精彩部分；最重要的细节或事件；闪光点
hinder    v.阻碍；打扰 adj.后面的
hinterland    n.内陆地区；内地；腹地
hitherto    ad.迄今，到目前为止
hockey    n.曲棍球
holistic    adj.整体的；全盘的
homicide    n.杀人；杀人者
hominid    n.原始人类 adj.灵长类的
hominidization    
homogeneous    a.同类的；均匀的
hone    n.细磨刀石；磨孔机 vt.磨刀；磨练
hormone    n.荷尔蒙；激素
horrendous    adj.可怕的；令人震惊的
hospitable    adj.好客的；殷勤的；易于接受的；宜人的
hostility    n.敌意；敌对状态；公开战争
household    n.家庭，户；家务
hue    n.色调；色彩；样子；意味；信仰；喊叫
hum    n.嗡嗡声
humanitarian    a.博爱的
hydrocarbon    n.烃，碳氢化合物
hydrogen    n.氢
hyperbole    n.夸张法
hypersensitive    adj.过份敏感的
hypertension    n.高血压；过度紧张
hypertherm    n.人工发热器
hypnotist    n.施行催眠术的人
hypotenuse    n.(直角三角形的)斜边
hypothalamus    n.[医]丘脑下部；下丘脑
hypothesis    n.假设；前提
hysterectomy    n.子宫切除(术)
ibuprofen    n.[药]异丁苯丙酸；布洛芬(抗炎、镇痛药)
iconography    n.图解；图解书；图标研究；肖像学
identical    a.同一的；恒等的
identify    vt.认出，识别，鉴定
ideographic    adj.表意文字的
idioglossia    n.自我语法；自语症
idiosyncrasy    n.特质
idle    a.空闲的；懒散的
ignition    n.点火；点火器；[化]灼热；[机]发火装置
iguana    n.〈动〉鼠鳞蜥（一种美洲大蜥蜴）
illiterate    a.文盲的
illuminate    vt.照明，照亮；阐明
illusionary    adj.幻觉的；错觉的；假象的
illusory    adj.虚幻的；幻觉的
immaterial    adj.非物质的；无形的；精神的；不重要的
immediate    a.立即的；直接的
imminent    adj.逼近的；即将发生的
immoral    adj.不道德的
immune    adj.免疫的；免除的
immunological    adj.免疫学的
immutable    adj.不可变的；不变的
impact    n.影响，作用；冲击
impart    vt.给予，传递；告诉
impartiality    n.公平；无私；不偏
impasse    n.僵局；死路
impede    vt.妨碍；阻止
impediment    n.障碍；阻碍；口吃
imperative    adj.紧要的；必要的；祈使的 n.紧要的事；命令；义务；驱使
imperial    adj.帝国的；皇帝的；特大的；英制的 n.皇帝；女皇；马车车顶；特大号
impersonal    adj.不受个人感情影响的；冷淡的；没有人情味的；非特指某一人的；客观的
impetus    n.推动力；刺激
impinge    vi.撞击；侵犯；对...有影响 vt.撞击，打击
implant    v.深植；灌输；嵌入；移植 n.移植物；植入物
implication    n.含义，暗示，暗指
implicit    adj.含蓄的；绝对的；无疑问的；固有的；无保留的；暗示的
imposition    n.强迫接受；课税；欺骗；[印]拼版
impoverish    vt.使贫困；使贫瘠；使枯竭
impressionable    adj.易受影响的
impunity    n.不受惩罚；免罚
in-house    adj.（机构）内部的 adv.（机构）内部地
inadvertent    adj.不注意的；疏忽的；非故意的
inalienable    adj.不可剥夺的
incandescent    adj.光亮的；炽热的；白热化的；暴怒的
incentive    adj.刺激的；鼓励的 n.刺激；鼓励；动机
incineration    n.烧成灰；焚化；灰化
incipient    adj.起初的；初期的
incisive    adj.一针见血的；敏锐的
incompatible    a.不相容的
incongruity    n.不调和；不一致；不配合
inconsequential    adj.不合逻辑的；不合理的；不重要的
incorporate    vt.结合，合并，收编
increase    vt.&vi.&n.增加
increment    n.增量；增加；增值；增额
incriminate    v.牵连；控告；使负罪
inculcation    n.教授；谆谆教诲
incumbent    adj.负有义务的；凭依的 n.在职者；领圣职的俸禄的牧师
incursion    n.侵犯；入侵
indelible    adj.不能擦除的；不能磨灭的；难忘的
indenture    n.契约；合同；锯齿状的边缘；凹的部分 vt.（复数）indentures:师徒契约； 定期服务合同.
indices    n.目录；指数；符号；指示器；参见号
indigenous    adj.土生土长的；本地的；天生的
indigent    adj.贫穷的；贫困的；<古>欠缺的
indignation    n.愤怒，愤慨，义愤
indiscriminate    adj.任意的；不加区别的；不加选择的
indomethacin    n.[药]消炎痛；茚甲新( 一种用于治疗类风湿性关节炎等的消炎镇痛药)
inducement    n.诱因；动机
indulge    vt.放纵(感情)vi.纵情
inept    adj.不适当的；无能的；笨拙的
inertia    n.惯性，惯量；无力
inevitable    a.不可避免的，必然的
inexorable    adj.无情的；不可阻挡的；坚决不变的 n.坚定不移的人
inexplicable    adj.无法说明的；无法解释的；费解的
inextricable    adj.无法摆脱的；分不开的
infancy    n.婴儿期；幼年；初期
infectious    a.传染的；感染性的
infest    v.侵扰；猖獗；寄生于
infield    n.农宅周围的田园；耕地；内野
infirmary    n.治疗室
inflammatory    adj.煽动性的；发炎的；炎症的
inflection    n.屈曲；变调；音调变化
influx    n.流入；河口；汇集；涌入
infrared    adj.红外线的 n.红外线
ingenious    a.机灵的；精巧制成的
ingenuity    n.机灵；设计新颖
ingest    v.咽下；摄取
ingrained    adj.根深蒂固的；深嵌入纺织品或纤维的
inhalation    n.吸入；吸入药剂
inherent    a.固有的，生来的
inherited    adj.继承的；遗传的
inhumane    adj.无情的；残忍的；不人道的
iniquitous    adj.不正的；不法的；邪恶的
initial    a.词首的
injunction    n.指令；命令；禁令
innate    adj.天生的；固有的
inoculate    v.给 ... 注射疫苗；灌输
inordinate    adj.过度的；非常的；无法无天的
inpatient    n.住院病人
input    vt.输入
inquisitorial    adj.审判官的；严格审问的；好询问的
insatiable    adj.不知足的；贪求无厌的
inscribe    v.题写；题赠；铭刻于；铭记
insidious    adj.隐伏的；暗中为害的；阴险的；诱人上当的；（疾病等）不知不觉恶化的
insight    n.洞察力，洞悉，见识
insomnia    n.失眠；失眠症
installation    n.安装；装置；设施
instantaneous    a.瞬间的，即刻的
instigate    vt.教唆；怂恿；煽动；鼓动
instill    vt.逐渐灌输；滴注
insulate    vt.使绝缘，使绝热
insulin    n.胰岛素
intact    adj.完好无缺的；原封不动的；未经触碰的
intake    n.吸入；输入能量
intangible    adj.难以明了的；无形的 n.无形的东西
integer    n.【C】整数；完整的事物；整体
integral    a.组成的；整的
integrate    vt.使结合，使并入
intense    a.强烈的；紧张的
intention    n.意图，意向，目的
intentional    a.故意的，有意识的
intercept    n.截取；妨碍；截距 vt.拦截；阻止
interdependency    n.互相依赖
interferometer    n.干涉仪
interior    n.内部
interlude    n.中间；中间时间；插曲；介在中间的事件
intermediary    n.仲裁者；调解者；中介 adj.中间的；媒介的
intermittent    adj.间歇的；断断续续的
internecine    adj.两败俱伤的；内讧的；致命的
interpolation    n.插话；添加内容；<数>插值
interrelate    v.互相关连；相关
intersect    v.贯穿；(和 ... )相交；交叉
intersection    n.交集；十字路口；交叉点
intestinal    adj.肠的
intestine    n.肠 adj.国内的；内部的
intimate    a.亲密的；个人的
intracellular    adj.细胞内的
intricate    adj.复杂的；难懂的
intrigue    vt.欺骗；激起 ... 的兴趣 vi.密谋 n.阴谋；私通；复杂的事
intriguing    adj.吸引人的；有趣的
intrinsic    adj.内在的；固有的；本质的
intrinsically    adv.内在地；固有地
invalidate    vt.使无效；使作废
inventory    n.详细目录；存货(清单) vt.编制(详细目录)
invertebrate    n.无脊椎动物 adj.无脊椎的
inveterate    adj.根深蒂固的；成瘾的
invigorate    vt.增添活力；鼓舞；激励
invoke    vt.援引；引起；求助；请求；乞灵于
ion    n.离子
irate    adj.发怒的；生气的
iridium    n.铱
ironically    adv.讽刺地；说反话地
irrational    n.无理数 adj.无理性的；不合理的
irrelevant    adj.不恰当的；无关系的；不相干的
irritant    n.刺激物；刺激剂 adj.刺激的；刺激性的
islamic    adj.伊斯兰教的
isolation    n.隔离；孤立
isotope    n.同位素
jacket    n.短上衣，茄克衫
jasper    n.碧玉；绿色装饰用宝石
jawbone    n.颚骨；下颚骨 v.游说
jeopardize    vt.危及；使处于危险境地；影响
jettison    v.抛弃；丢弃；投弃 n.投弃；投弃的货物
jolt    n.震摇；摇动；震惊；少量 vt.颠簸；敲击；动摇；震动 vi.颠簸而行
judicious    adj.明智的；贤明的；审慎的
jumbo    n.喷气式飞机 adj.特大的
jurisdiction    n.管辖权；司法权；审判权；控制权
juvenile    adj.青少年的；幼稚的 n.青少年；青少年读物；幼雏；扮演少年的演员
juxtapose    v.并置；并列
kelp    n.巨藻；海草灰
keynesian    n.凯恩斯主义者 adj.凯恩斯学说的
kidnap    vt.诱拐，绑架
kinetic    a.动力(学)的；活动的
kinship    n.血缘关系；亲属关系
knack    n.技巧；诀窍
lactic    adj.乳（汁）的；来自乳汁的
landfill    n.垃圾填埋地；垃圾填埋法 vt.在垃圾填埋地上处理
larvae    n.幼虫
laser    n.激光
latch    n.门闩；碰锁；弹簧锁 v.上闩；缠着；明白
lateral    adj.侧面的；横向的；旁边的 n.侧面；[语]侧音 vi.完成横向穿越
latitude    n.纬度；黄纬
laudable    adj.值得称赞的
laudatory    adj.赞美的；赞赏的
laurel    n.月桂树；荣誉 v.戴桂冠；授予荣誉
lease    n.租约，契约，租契
leery    adj.机敏的；有戒心的；留神的
leeway    n.余地
leg    n.腿，腿部
legislature    n.立法机关
legitimacy    n.合法；合理；正当
legitimate    adj.合法的；世袭的；婚生的；正当的；合理的 vt.使合法；授权；宣布 ... 为合法
length    n.程度，范围
lepidopter    n.[动] 鳞翅类昆虫
leprosy    n.[医]麻风病；腐败
lethal    adj.致命的；危险的；有效的
letup    n.停止；中止；弛缓；松懈
leucine    n.亮氨酸；白氨酸
leukemia    n.白血病
lever    n.途径，工具，手段
levy    n.征税；召集 vt.征收；发动 vi.强收
lexicographer    n.辞典编纂者
liability    n.责任；倾向；债务
liken    v.比作；比拟；使像
limestone    n.石灰石
lingo    n.语言；术语；行话
linguist    n.语言学家
linguistics    n.语言学
lionize    vt.崇拜；看重
lipid    n.脂质；油脂
lipoprotein    n.脂蛋白
liquidation    n.（债务的）清偿；（公司的）清盘；停止营业
liquidator    n.清算人
listless    adj.无精打采的
litigant    n.诉讼当事人 adj.诉讼的
live    vi.居住；活
liver    n.肝；肝脏
livestock    n.家畜；牲畜
loaf    n.一条面包，一个面包
lobbyist    n.活动议案通过者；说客
lobe    n.圆形突出部；耳垂；裂片
locale    n.现场；场所
locomotion    n.运动；移动；转位
logotype    n.[印]连合活字；标识
longevity    n.长寿；寿命
loom    n.织布机 n.若隐若现 vi.隐约可见；迫近
lore    n.学问；知识；传说；(鸟等的)眼端
lot    n.许多，大量；签，阄
luminescence    n.发冷光；冷光；无热光
luminosity    n.光明；光度；发光体
lunar    a.月亮的
lush    adj.苍翠繁茂的；茂盛的；丰富的 n.酒；酒鬼 v.喝酒
lymph    n.淋巴液；淋巴
lymphatic    adj.淋巴的；淋巴性的；无力的 n.淋巴腺；淋巴管
lymphocyte    n.淋巴球；淋巴细胞
lyrical    adj.抒情的；抒情诗的；热情的；狂热的 n.抒情诗
lysis    n.[生化]溶解；病势减退；消散
macaque    n.短尾猿；猕猴
macrophage    n.[生]巨噬细胞
magnetic    a.磁的，有吸引力的
magnitude    n.大小；重大；星等
maim    v.使伤残
mainstream    n.主流 adj.主流的 v.把 ... 编入学校正规班级；把 ... 纳入主流
maize    n.玉米
maladaptive    adj.不适应的；不利于适应的
malady    n.病；疾病；弊病
malaria    n.疟疾
malfunction    n.故障；失灵 v.发生故障；不起作用
malpractice    n.失职；行为不当
mammalian    n.哺乳动物 adj.哺乳动物的
mandatory    adj.法定的；义务的；强制性的；受委托的 n.受托管理者
maneuver    vt.巧妙地操纵；使演习；调遣 vi.演习；调遣；用计策 n.演习；策略；调遣
manipulate    vt.操作；控制，手持
mannerism    n.明显或过份固守独特格调或形式；怪癖；手法主义（16世纪欧洲出现的一种艺术流派）
manufacture    vt.制造
margin    n.余地；幅度；赚头
marginal    a.记在页边的；边缘的
marijuana    n.大麻
marine    a.海的；海上的
marrow    n.骨髓；精华；活力 n.西葫芦
martial    adj.军事的；战争的；好战的
masculinity    n.男子气慨
mask    n.面具；伪装
mason    n.石匠；泥瓦匠 n.Mason.
mass    n.众多；团；群众
maternal    adj.母亲的；母系的；母方的；母性的
matrix    n.矩阵；发源地；基质；母体；子宫；(人或社会成长发展的）社会环境、政治局势；线路网；道路网；[地]杂基；矩阵转接电路；唱片模板
mature    vt.使成熟
maximum    n.最大量
meander    v.缓慢而弯曲地流动；漫步；闲聊 n.河流的曲折；漫步；迂回曲折的进程
measles    n.麻疹
mechanism    n.机械装置；机制
median    adj.中央的；中间的；正中的 n.中动脉；中位数；中值
medieval    adj.中世纪的
medium    n.媒质；中间a.中等的
meek    adj.温顺的；谦恭的
megalithic    adj.巨石的
melancholy    n.&a.忧郁(的)，悲伤
membrane    n.【C】薄膜；膜状物
memento    n.纪念品
memoir    n.传记；实录
merchant    n.商人；零售商
metabolize    vt.(使)产生代谢变化
metamorphose    v.改变形状；使变成
meteorite    n.陨石；流星
meteorologist    n.气象学家
methane    n.甲烷；沼气
methodology    n.方法学；一套方法
metropolitan    a.主要都市的n.大主教
migraine    n.偏头疼
migrant    n.移居者；候鸟 adj.移居的
milieu    n.周围环境；背景；栖身所
millennia    n.一千年
mimic    vt.模仿；模拟 n.模仿者；仿制品 adj.模仿的；假的
mingle    vt.使混合vi.混合起来
miniature    n.缩影
minimum    n.最小量
minus    a.负的
minute    a.微细的；详细的
miracle    n.奇迹，令人惊奇的人
mishap    n.不幸之事；灾祸；恶运
missile    n.发射物；导弹
mite    n.小虫；小家伙；极少量
mitigate    vt.减轻；缓和
mitochondria    n.线粒体
mob    vi.聚众闹事
mobility    n.流动性；机动性；情感不定
modest    a.有节制的；谦虚的
modification    n.缓和；修改；修饰
modify    vt.更改，修改；修饰
mold    n.模式；类型；模子；模型；真菌；软土 vt.形成；制模；发霉 vi.发霉；符合形状
molten    adj.熔化的；炽热的；铸造的
momentous    adj.重要的；重大的
monarch    n.君主，最高统治者
monitor    n.班长；监视器
monochrome    n.单色；单色画法 adj.单色的；黑白的
monopoly    n.垄断，独占，专利
monotonous    adj.单调的
monsoon    n.季风；雨季
morale    n.士气；斗志；道德准则
morphine    n.吗啡
morphogenetic    
morphological    adj.形态学的
mortality    n.死亡率；死亡数目；必死性
mortgage    n.抵押
mosaic    n.马赛克；镶嵌图案 v.镶嵌；用马赛克装饰 adj.【大写】摩西的
mosque    n.清真寺
mosquito    n.蚊子
moth    n.蠹；蛾
motion    n.运动；手势；提议
mouflon    n.欧洲盘羊；摩弗伦羊(南欧产的一种野生羊)
mound    n.土墩；小丘；一堆 v.筑堤；用土堆防卫
movement    n.动作，活动；移动
multiple    a.复合的；并联的
multiplier    n.乘数；增加者；扩音器
multiply    vt.使增加；乘
mundane    adj.平凡的；世俗的；世界的
municipal    a.市的，市立的
mural    adj.墙壁的；挂在墙壁上的 n.壁画
mutation    n.变化；突变；变异
mute    n.弱音器；闭止音
mutiny    n.兵变；叛乱 v.叛变
mutual    a.相互的；共同的
myopic    adj.近视的；缺乏远见的
mystic    adj.神秘的；神秘主义者的 n.神秘主义者
mythological    adj.神话学的；神话的
nadir    n.最低点；[天]天底
narcissistic    adj.自我陶醉的；孤芳自赏的
narrator    n.叙述者；讲解员
natal    adj.出生的；诞生的 n.Natal.
naval    n.海军的，军舰的
navigation    n.航行；航海术；导航
neo-orthodoxy    n.新正统主义
neologism    n.新字；新语；新语症
neonate    n.初生婴儿
neurogenesis    n.[生]神经发生；神经形成
neuroleptic    n.精神抑制药；安定药
neuron    n.神经元；神经细胞
neutral    a.中立的；中性的
neutrino    n.中微子
nexus    n.连系；联络；关系；网络；节；段；连杆；连接
niche    n.壁龛；适当的位置；（特定产品或服务的）用户群；[生]生态龛；生态位；小生态环境 vt.放在适当的位置
nickel    n.镍；镍币
nicotine    n.尼古丁
nightshade    n.龙葵属植物
nitric    adj.氮的；含氮的；硝石的
nitrogen    n.氮
nomad    n.游牧部落一员；流浪者
nostalgia    n.乡愁；向往过去；怀旧之情
notorious    a.臭名昭著的
nova    n.新星
novelty    n.新颖；新奇的事物
novice    n.新手；新信徒
novocaine    n.奴佛卜因(一种麻醉药)
noxious    adj.<正式>有害的；有毒的
nuance    n.细微差别
nuclear    a.原子核的；核心的
nucleotide    n.核苷酸
nucleus    n.原子核；细胞核
null    adj.无效的；无价值的；无效力的 n.零；空 vt.使无效
number    vt.共计，达…之数
numerator    n.分子；计算者（器）
nutritious    adj.有营养的；滋养的
