Freudian    adj.佛洛伊德的；佛洛伊德学说的 n.相信佛洛伊学说的人
balk    v.阻止；突然停止；退缩；拒绝 n.障碍；错误；失败 n.梁木
ballad    n.歌谣；诗歌；谣曲
ballistic    adj.弹道的；（突然地）激动、沮丧或者生气的
bankruptcy    n.破产；倒闭
baptism    n.（基督教）施洗，浸礼；洗礼
bar    n.酒吧间；条，杆；栅
bargain    n.交易
baritone    n.男中音；上低音部；男中音歌手
bark    n.吠叫声
baroque    adj.巴洛克式的；过份雕琢的；奇形怪状的 n.巴洛克式；巴洛克风格
barrel    n.桶；圆筒；枪管
base    n.基础，底层；基地
basketry    n.编篮工艺；（篮筐等）编织物
battalion    n.营（军队单位）；军队；大批
beatific    adj.祝福的；快乐的；慈祥的
behest    n.命令；紧急要求
benefactor    n.恩人；捐助者；赠送者
beneficiary    n.受惠者；受益人
bereft    adj.失去……的；被剥夺的；失去亲人的
beset    vt.包围；困扰；镶嵌
besiege    v.围攻；包围
bestow    vt.把…赠与
betray    vt.背叛；辜负；泄漏
betrayal    n.背叛；暴露
beverage    n.饮料
bicentenary    n.二百周年纪念 adj.二百周年纪念的
bid    vt.命令
bilateral    adj.双边的；左右对称的
bilingual    adj.双语的
binary    adj.二进位的；二元的 n.二进制；二元
biofeedback    n.生物反馈
biota    n.生物群；生物区
bipartisan    adj.两党的；代表两党的
bipedalism    
birch    n.桦树；桦木；用桦条抽打 v.用桦条抽打
bisect    vt.平分；切分为二 vi.交叉
bizarre    adj.奇异的；怪诞的
blackout    n.断电；灯火管制；暂时的意识丧失；（新闻的）封锁；（广播的）中断
bland    adj.温和的；不油腻的；引不起兴趣的；平淡无奇的
blast    n.管乐器的声音
bleak    adj.萧瑟的；阴郁的；严寒的；无希望的
blemish    n.瑕疵；污点；缺点 v.玷污；损害
blob    n.小圆块；小斑点；一滴 v.弄脏
blockade    n.【C】封锁；阻碍物 vt.封锁；挡住
blot    n. 污点； 墨迹； 玷污 n. （十五子棋中）暴露的棋子 n. <古>弱点 vt. 玷污； 弄脏； 吸干（墨汁等） vi. 弄上污迹
blurry    adj.模糊的；失去焦距的
bog    n. 沼泽 v. 使 ... 陷于泥沼； 陷于困境
bolster    n.长枕；靠垫 vt.支持；鼓励
bombardment    n.炮击；轰炸
bondage    n.奴役；束缚
bookkeeping    n.簿记；记账
boom    n.繁荣；兴旺；激增；低沉声 n.帆杠；吊杆；支臂；尾桁；水栅 vi.急速增长；发出低沉声 vt.使兴旺；促进
boost    v.提高；增加；鼓励；举起；为...做宣传 n.增加；推进；鼓励
boreal    adj.北(方)的；北风的 adj.Boreal.
bottleneck    n.瓶颈 v.阻塞；妨碍 adj.狭窄的
bound    a.应当的；必定的
bountiful    adj.充足的；丰富的；慷慨的
bounty    n.慷慨；慷慨的赠予物；（由政府提供的）奖金
bouquet    n.花束；称赞；酒香
bout    n.回合；一场；一阵；发作；（摔跤等）比赛
bower    n.树荫处(凉亭)；闺房
brandling    
brazen    adj.厚颜无耻的；明目张胆的；响而刺耳的；黄铜(制)的 v.厚着脸皮做；使变得无耻；无耻地对待
breakthrough    n.突破，突破性进展；关键问题的解决
brevity    n.短暂；简短；简洁
brewery    n.啤酒厂
briny    adj.盐水的；海水的；咸的
broccoli    n.西兰花；花椰菜；甘蓝花
brochure    n.小册子，资料手册
brokerage    n.经纪人(或中间人)业务；经纪行
bronze    n.青铜色
browse    v.浏览；随意观看；吃草 n.嫩叶；浏览
brutal    adj.野蛮的；残暴的
bubonic    adj.腹股沟腺炎的
budget    n.预算，预算案
budworm    
buffer    n.缓冲；(火车头尾或轨道末端的)缓冲器；[计算机]缓存区；老朽 v.缓冲；减轻；[计]缓存
bugbear    n.妖怪；烦恼(或恐惧)的根由
bulge    n.膨胀；暴增 v.膨胀；充满
bumblebee    n.大黄蜂；熊蜂
bummer    n.失败；不愉快的经历；无赖；游民；吸食迷幻药的反效果
bunch    n.束，球，串；一群
buoyant    adj.有浮力的；心情愉快的；趋于上涨的
bureaucrat    n.官僚作风的人；官僚
burgeon    v.发芽；萌芽；迅速发展 n.芽；嫩枝
burglarize    v.入室盗窃
burrow    n.(兔子等)所掘的地洞 vt.挖掘(洞穴)；钻进 vi.翻寻；挖洞
bust    n.半身像；胸部；搜查；失败 v.打碎；搜捕；降级；终止 adj.破产的；打碎的
bustle    n.喧哗；匆忙；<旧>裙撑；衬垫 v.匆忙；催促
buttress    n.扶墙；拱壁 v.支持
bylaw    n.附则；法规；地方法
cabin    n.小屋；船舱，机舱
cache    n.隐藏所；藏身处；【计】高速缓冲存储器；缓存 v.把……藏起来；【计】把……储存于超高速缓冲存储器
calamitous    adj.造成灾祸的
calcium    n.钙
caliph    n.哈里发(旧时伊斯兰教国家政教领袖的尊称)
calligraphic    adj.书法的；善写的
calorie    n.卡；卡路里(热量单位)
campaign    n.战役；运动
campesino    n.<西>农夫；农业工人
canary    n. 金丝雀； 加那利舞； 加那利白葡萄酒； <俚>告密者
cancerous    adj.癌的；似癌的；生癌的
canon    n.教规；标准；准则；真经；真作；（公认的）作家或音乐家；大教堂教士；轮唱曲 n.Canon: 佳能（相机品牌）
canopy    n.天篷；遮篷；苍穹
canvas    n.粗帆布；一块油画布
capacity    n.容量；能力；能量
capricious    adj.变化无常的；任性的
captious    adj.吹毛求疵的；强词夺理的
captivate    vt.迷住；迷惑
captivity    n.囚禁；被俘；束缚
capture    vt.捕获，俘获；夺得
carbohydrate    n.碳水化合物；糖类
carcinogen    n.致癌物
cardiac    adj.心脏的；心脏病的
cardiopulmonary    adj.〈医〉心肺的；与心肺有关的
cardiovascular    adj.心脏血管的
cargo    n.船货，货物
caricature    n.讽刺画；讽刺；歪曲；笨拙的模仿 v.画成漫画；讽刺；使滑稽化
caries    n.龋齿；骨溃疡
carol    n.颂歌；欢乐的歌；卡罗尔（人名） v.欢唱
carpal    adj.腕骨的 n.腕骨
cartel    n.卡特尔；联合企业；俘虏交换条约书
cartographer    n.地图制作者；制图师
cascade    n.瀑布；[电]串联 v.瀑布似地落下；（将 ... ）连结；串联
casualty    n.事故；伤亡者；伤亡人数；<英>急诊室
catalog    n.目录，目录册
catalogue    vt.为…编目录
catalyst    n.催化剂；刺激因素
catastrophe    n.大灾难；大祸；彻底失败
category    n.种类，类目；范畴
cater    vi.迎合，投合
caterpillar    n.毛虫 n.Caterpillar.
cathedral    n.总教堂；大教堂
caveat    n.防止误解的说明；警告
caviar    n.鱼子酱
cedar    n.雪松；雪松木材
celebrity    n.名人；名誉；社会名流
celestial    adj.天上的；非凡的 n.天神 adj.Celestial. n.中国的；中国人的
censure    n.责难；非难 v.非难；责备；公开谴责
census    n.人口普查；户口普查；统计
center    n.中心；集中点 v.居中；使集中
centrifugal    adj.离心的
ceramic    adj.陶器的 n.陶器；陶瓷学
cereal    n.谷类，五谷，禾谷
ceremonial    n.仪式 adj.仪式的
cessation    n.终止；（短暂的）停止
chaise    n.轻便马车；<法>躺椅(chaise longue)
chalice    n.杯；圣餐杯
chamber    n.会议室；房间；腔
chameleon    n.变色龙；善变的人；轻浮的人
chant    n.圣歌；赞美诗；旋律；喊叫 v.吟唱；诵扬；叫喊
char    v.(使)烧成炭；(使)烧焦 v.<英>做杂役女佣 n.烧焦物；炭 n.杂役女工 n.茶
charge    n.负荷；充电
charity    n.施舍；慈善事业
charter    vt.租
chauvinism    n.沙文主义；盲目的爱国心
check    n.支票，帐单
cheetah    n.猎豹
chef    n.厨师；主厨
chiaroscuro    n.明暗对照法（绘画中明暗部分的处理法)；（文学﹑ 音乐等中使用的）对比法
chisel    n.凿子 v.雕；凿；欺骗
chlorofluorocarbons    
cholesterol    n.胆固醇
chord    n.(乐器的)弦
chordate    adj.具有脊索的；脊索动物的 n.脊索动物
choreography    n.编舞艺术；舞蹈编排
chromosome    n.染色体
chronic    adj.长期的；慢性的；惯常的
chronicle    n.年代记；记录；编年史
chronology    n.年代学；年表；按年代次序的排列
churn    n.搅乳器 v.搅拌；搅动；翻腾；〈口〉粗制滥造
cinder    n.煤渣；灰烬
circadian    adj.[生]昼夜节律的；生理节奏的
circle    n.圆，圆周；圈子
circulation    n.循环；(货币等)流通
circumference    n.圆周，周长，圆周线
circumscribe    v.限制；划一条线包围；确定...的范围；画（几何图形的）外接圆
circumspect    adj.细心的；慎重的
circumvent    vt.绕行；设法避开；围住
civic    adj.公民的；市民的；城市的
civil    a.公民的；文职的
claim    n.权利，所有权
clam    n.蛤；沉默寡言的人 vi.保持沉默；挖蚌
clan    n.氏族；宗族；党派
clandestine    adj.秘密的(常指违法的行为)
clarify    vt.澄清，阐明
clerical    adj.书记的；事务上的；抄写员的 n.牧师
cliches    n.陈腔滥调
clientele    n.客户
climatologist    n.气候学；风土学
clipping    n.剪；剪报；剪取物；英语构词法中的截略法 v.动词clip的现在分词
clockwise    a.&ad.顺时针方向转的
clog    vt.阻塞；妨碍 vi.阻塞；结块；跳木屐舞 n.木屐；障碍
clone    n.克隆；无性繁殖；复制品 v.克隆；复制
clothesline    n.晾衣绳 vt.（用胳膊勾住脖子）击倒对手
clumsy    a.笨拙的；愚笨的
cluster    n.一串
coalesce    v.合并；联合；接合
coalition    n.结合；联合；联盟
cobble    n.圆石；鹅卵石；(常用复数)卵石路 v.铺鹅卵石；修补(鞋)；粗制滥造
cocaine    n.可卡因
cocoa    n.可可粉；可可饮料；可可色
coda    n.乐章结尾部；(小说、戏剧等的）结局部分
code    n.准则；法典；代码
codify    v.把…编成法典；整理；编纂
cognitive    adj.认识的；认知的；有认识力的
coherent    a.粘着的；紧凑的
coinage    n.硬币；货币制度；造币；创造新词
coleslaw    n.凉拌卷心菜
collaborate    vi.协作，合作；协调
collateral    adj.旁系的；并行的；附属的 n.附属担保物；支亲；副保
combat    vt.跟…战斗
combination    n.结合，联合；化合
combustion    n.燃烧；氧化；骚动
comedian    n.喜剧演员
comet    n.彗星
commercial    a.商业的；商品化的
commission    n.委托，委任；委托状
commonplace    a.平凡的
compact    a.紧密的
compactness    n.致密性；密度；小巧；紧凑
companionate    adj.同伴的；友爱的；和谐的
compatible    a.一致的；兼容制的
compensate    vt.&vi.补偿，赔偿
compensation    n.补偿，赔偿，赔偿费
compile    vt.编辑，编制，搜集
complacency    n.自满；沾沾自喜
complement    vt.补充
complementary    adj.补充的；互补的
complex    a.结合的；复杂的
compliance    n.顺从；服从；遵守；屈服；柔度；灵活性
comply    vi.应允，遵照，照做
component    n.组成部分；分；组件
compound    n.化合物；复合词
comprehend    vt.了解，理解，领会
compromise    n.妥协，和解
compulsory    a.强迫的，义务的
conceal    vt.把…隐藏起来
concentrate    vt.&vi.浓缩，提浓
concern    n.所关切的事；商行
concert    n.一齐，一致，协作
concerto    n.[音]协奏曲
concession    n.让步，迁就
concrete    n.混凝土；具体物
concurrent    adj.同时发生的
condense    vt.压缩，使缩短
condescending    adj.高傲的；表现出优越感的
condor    n.大兀鹰；秃鹰金币
cone    n.圆锥体；锥形物；球果 vt.变成锥形
configuration    n.结构；布局；形态；格式塔心理完形
confinement    n.拘禁；限制；分娩
conform    vt.使遵守
confront    vt.使面对；使对证
congenial    adj.同性质的；适意的；趣味相同的；友善的
congestion    n.阻塞；拥挤；充血
conglomerate    n.联合企业；密集体；城郊混合区；[地]砾岩 adj.聚成一团的；成簇的 vt.使聚集；使结成；结合
congregation    n.教堂会众；人群；（物）群；集合
congruent    adj.合适的；一致的；全等的
connive    v.共谋；默许；纵容
consensus    n.一致；同意；共识
consortia    n.合作；协议；国际财团；[律]配偶权利
conspiracy    n.阴谋；共谋
constellation    n.星座；星群
constraint    n.强迫，结束；强制力
contagious    adj.传染性的；感染性的
contaminant    n.杂质；污染物质；沾染物
contemplate    vt.注视；沉思；打算
contemporary    a.当代的，同时代的
contemptuous    adj.轻视的；轻蔑的；瞧不起的
contentious    adj.好辩的；好争吵的；有争议的
context    n.上下文；来龙去脉
contiguous    adj.邻近的；连续的；接触的
contingency    n.偶发事件；偶然；依附条件，制约条件
contingent    n.代表团；小分队；偶然的事情 adj.取决于；经验主义的；不可预知的
contralto    n.(最低的)女低音
control    vt.控制，克制
convalescence    n.康复；恢复期；快愈期
conversion    n.转变，转化；改变
convert    vt.转变，改变，变换
conviction    n.确信，信服，深信
convoluted    adj.旋绕的；费解的
coordinate    a.同等的
coriander    n.[植]芫荽；香菜
cornerstone    n.隅石；奠基石
cornstalk    n.玉米秆
corny    adj.谷类的；平淡无奇的；乡巴佬的；陈词滥调；长鸡眼的
coronary    adj.冠状动脉或静脉的
corpulence    n.肥胖；臃肿
corridor    n.走廊，回廊，通路
corroborate    v.确证；证实
cortex    n.外皮；（大脑）皮层
cosmic    a.宇宙的；广大无边的
cossack    n.哥萨克人
cost    n.价格，代价；成本
counterclockwise    
counterfeit    n.膺品；伪造品 adj.假冒的；假装的 v.仿造；伪装；假装
countervail    v.偿；补偿；抵销
coupon    n.息票；参赛表；票券；礼券；(购物)优惠券
courier    n.送快信的；急差；旅行服务员
coy    adj.腼腆的；怕羞的；羞怯的 v.<古>态度娇羞
coyote    n.小狼；丛林狼
crack    vi.&vt.发出爆裂声
cramped    adj.狭窄的；束缚的；难认的
crass    adj.粗鲁的；愚钝的；非常的
crater    n.坑(陨石坑、弹坑等)；凹地；火山口
credence    n.信任；相信；祭器台
credit    vt.&n.相信，信任
credo    n.信条
crest    n.浪尖；冠；饰章；顶部 v.到达顶部；到达最高点
criminology    n.犯罪学
criteria    n.标准；尺度；准则
critique    n.批评；批评法；评论
crucial    adj.决定性的；关键的
crumple    v.（使)起皱；(使)崩溃；压垮 n.压痕；皱痕
crunch    v.发出碎裂声；嘎吱嘎吱地咀嚼；嘎喳嘎喳地碾过 n.嘎吱声；艰难局面；关键时刻
crusade    n.改革运动 vi.参与斗争或运动 n.Crusade.
crypt    n.土窖；地穴；(教堂的)地下室 n.[解剖学]小囊；腺窝 pref.隐藏的；秘密的（=crypto)
cryptical    adj.秘密的；使用密码的；有隐含意义的；隐密的；[动]保护色的
cube    n.立方形；立方
cue    n.暗示；提示；信号；（台球的）球杆 vt.给 ... 提示；把 ... 插入演出
culminate    vi.达到顶点；达到高潮；告终 vt.使达高潮；使结束
culpability    n.苛责；有罪性；有过失
cult    n.宗教膜拜仪式；异教；狂热崇拜；个人崇拜
cultivation    n.教化；培养；耕作
culture-bound    adj.受文化局限的; 属于特定文化的
cumbersome    adj.笨重的；不方便的
cupidity    n.贪心；贪婪
curb    n.路边；克制；勒马绳 vt.抑制；勒住；牵(狗)到合适地方大小便
cure-all    n.万灵丹
curriculum    n.全部课程；课程
